Facebook Reaction:love

      Predicted  Actual
0             6       7
1             0       0
2             0       0
3             0       0
4             0       0
5             0       0
6             0       0
7            15      15
8             0       0
9             0       0
10            0       0
11            0       0
12            5       5
13           44      45
14            0       0
15            0       0
16            0       0
17            0       0
18            0       0
19            0       0
20            0       0
21            0       1
22            0       0
23            0       0
24            0       0
25            0       1
26            0       0
27           13      14
28            0       0
29            0       0
...         ...     ...
6106          0       0
6107         13      13
6108          0       0
6109         23      23
6110          0       0
6111          0       0
6112          0       0
6113          0       0
6114          0       0
6115          0       0
6116          0       1
6117          0       0
6118          0       0
6119          0       1
6120          0       1
6121          5       6
6122          0       0
6123          0       0
6124          0       0
6125          2       2
6126          0       0
6127          0       0
6128          0       0
6129          0       0
6130        101     102
6131          0       1
6132          9      10
6133          0       0
6134          0       0
6135          0       0

[6136 rows x 2 columns]

Facebook Reaction:haha

      Predicted  Actual
0             0       0
1             0       0
2             0       0
3             0       0
4             0       0
5             0       0
6             0       0
7             0       0
8             0       0
9             0       0
10            0       0
11            0       0
12           58      58
13            6       7
14            0       0
15            0       0
16            0       0
17            0       0
18            0       0
19            0       0
20            0       0
21            0       0
22            0       0
23            0       0
24            0       0
25            0       0
26            0       0
27            0       0
28            0       0
29            0       0
...         ...     ...
6106          0       0
6107          0       0
6108          0       0
6109          0       1
6110          0       0
6111          0       0
6112          0       0
6113          0       0
6114          0       0
6115          0       0
6116          0       0
6117          1       2
6118          0       0
6119          0       1
6120          0       0
6121          0       0
6122          0       0
6123          0       0
6124          0       0
6125          0       0
6126          0       0
6127          0       0
6128          0       0
6129          0       0
6130          1       1
6131          0       0
6132          1       1
6133          0       0
6134          0       0
6135          0       0

[6136 rows x 2 columns]

Facebook Reaction:wow

      Predicted  Actual
0             0       0
1             0       0
2             0       0
3             0       0
4             0       0
5             0       0
6             0       0
7             0       1
8             0       0
9             0       0
10            0       0
11            0       0
12            2       2
13            2       2
14            0       0
15            0       0
16            0       0
17            0       0
18            0       0
19            0       0
20            0       0
21            0       0
22            0       0
23            0       0
24            0       0
25           17      17
26            0       0
27            1       1
28            0       0
29            0       0
...         ...     ...
6106          0       0
6107          0       0
6108          0       0
6109          9      10
6110          0       0
6111          0       0
6112          0       0
6113          0       0
6114          0       0
6115          0       0
6116          0       0
6117          0       0
6118          0       0
6119          0       0
6120          0       0
6121          2       2
6122          0       0
6123          0       0
6124          0       0
6125          0       0
6126          0       0
6127          0       0
6128          0       0
6129          0       0
6130         28      28
6131          6       6
6132          6       6
6133          0       0
6134          0       0
6135          0       0

[6136 rows x 2 columns]

Facebook Reaction:anger

      Predicted  Actual
0             0       0
1             0       0
2             0       0
3             0       0
4             0       0
5             0       0
6             0       0
7             0       0
8             0       0
9             0       0
10            0       0
11            0       0
12            0       0
13            0       1
14            0       0
15            0       0
16            0       0
17            0       0
18            0       0
19            0       0
20            0       0
21            0       0
22            0       0
23            0       0
24            0       0
25            0       1
26            0       0
27            0       0
28            0       0
29            0       0
...         ...     ...
6106          0       0
6107          0       0
6108          0       0
6109          2       2
6110          0       0
6111          0       0
6112          0       0
6113          0       0
6114          0       0
6115          0       0
6116          0       0
6117          0       0
6118          0       0
6119          0       0
6120          0       0
6121          0       0
6122          0       0
6123          0       0
6124          0       0
6125          0       0
6126          0       0
6127          0       0
6128          0       0
6129          0       0
6130          0       1
6131          3       4
6132          0       0
6133          0       0
6134          0       0
6135          0       0

[6136 rows x 2 columns]

Facebook Reaction:sad

      Predicted  Actual
0             0       1
1             0       0
2             0       0
3             0       0
4             0       0
5             0       0
6             0       0
7             0       0
8             0       0
9             0       0
10            0       0
11            0       0
12            0       0
13            0       0
14            0       0
15            0       0
16            0       0
17            0       0
18            0       0
19            0       0
20            0       0
21            0       0
22            0       0
23            0       0
24            0       0
25            1       1
26            0       0
27            0       0
28            0       0
29            0       0
...         ...     ...
6106          0       0
6107          0       0
6108          0       0
6109          0       0
6110          0       0
6111          0       0
6112          0       0
6113          0       0
6114          0       0
6115          0       0
6116          0       0
6117          0       0
6118          0       0
6119          0       0
6120          0       0
6121          0       0
6122          0       0
6123          0       0
6124          0       0
6125          0       0
6126          0       0
6127          0       0
6128          0       0
6129          0       0
6130          1       1
6131          0       0
6132          0       0
6133          0       0
6134          0       0
6135          0       0

[6136 rows x 2 columns]
